Number_of_Video,Text,Annotation,Textual_Sentiment_Analysis,Audio_Sentiment_Analysis,Video_Sentiment_Analysis,Start_Frame,End_Frame
306,Auf einer Bangigkeit überfällt mich.,negative,negative,negative,neutral,4266,4269
307,"und eine Maske kommt bereits um die Planke gesprengt; – ohne Zweifel, mir den Erfolg zu berichten. – Entfernen Sie sich",neutral,positive,negative,neutral,4270,4276
308,marinelli,negative,neutral,negative,neutral,4278,4279
309,"Nicht wahr, nun habe ich zu viel getan.",negative,negative,negative,neutral,4283,4286
310,"und vorhin zu wenig?
Das nicht. Aber ich sehe bei alle dem nicht ab – –
Absehn? – Lieber alles mit eins!",negative,negative,negative,neutral,4287,4294
311,Entfernen Sie sich die Maske muss sie nicht sehen.,neutral,negative,positiv,neutral,4296,4301
312,"Dort fährt der Wagen langsam nach der Stadt zurück. – So langsam? Und in jedem Schlage ein Bedienter? – Das sind Anzeigen, die mir nicht gefallen; – daß der Streich wohl nur halb gelungen ist; – daß man einen Verwundeten gemächlich zurückführt, – und keinen Toten.",negative,negative,negative,neutral,4324,4342
313,"Passen sie auf, herr Kammerherr. Man muss sich gleich bringen.",neutral,positive,neutral,neutral,4354,4360
314,"Und wie lief die Sache sonst ab? Ich denke ja recht gut, wie steht es mit den Grafen zu dienen?",neutral,positive,negative,neutral,4361,4373
315,so so,positive,neutral,negative,neutral,4374,4375
316,"Aber er muß Wind gehabt haben. Denn er war nicht so ganz unbereitet.
Geschwind sage mir, was du mir zu sagen hast!",negative,negative,negative,neutral,4380,4388
317,Es tut mir leid und den guten Herrn.,neutral,negative,neutral,neutral,4392,4394
318,hier,neutral,neutral,neutral,neutral,4398,4398
319,für dein mitleidiges Herz vollends mein braver Nikolaus.,negative,positive,negative,neutral,4400,4403
320,"mitbezahlen müssen, ach so, Verlust auf beiden Seiten.",neutral,negative,negative,negative,4405,4410
321,"Ich könnte weinen und den ehrlichen Jungen, ob mir sein Tod schon verbessert, wenn ich dann sein Erbe, weil ich ihn gerächt habe, das ist unser Gesetz.",positive,negative,negative,neutral,4412,4423
322,"ein so gutes, mein' ich, als für Treu und Freundschaft je gemacht worden. Dieser Nicolo, Herr Kammerherr –
Mit deinem Nicolo! – Aber der Graf, der Graf –
Blitz! der Graf hatte ihn gut gefaßt. Dafür faßt' ich auch wieder den Grafen! – Er stürzte; und wenn er noch lebendig zurück in die Kutsche kam: so steh' ich dafür, daß er nicht lebendig wieder heraus kommt.
Wenn das nur gewiß ist, Angelo.
Ich will Ihre Kundschaft verlieren, wenn es nicht gewiß ist! – Haben Sie noch was zu befehlen? denn mein Weg ist der weiteste: wir wollen heute noch über die Grenze.
So geh.
Wenn wieder was vorfällt, Herr Kammerherr,",negative,negative,negative,negative,4424,4467
323,"Sie wissen, wo ich da fragen bin.",neutral,negative,neutral,neutral,4469,4470
324,"Was ist ein anderer zu tun getraut wird, kann ich auch keine Hexerei sein billiger bin ich als jeder andere gut das aber doch nicht so recht gut.",positive,negative,negative,neutral,4472,4485
325,So ein Knicker zu sein.,negative,neutral,negative,neutral,4487,4491
326,an zweiten Schuss,neutral,neutral,negative,neutral,4492,4493
327,Wer wohl noch wert gewesen?,negative,positive,negative,neutral,4494,4496
328,"Und wie er sich jetzt vielleicht martern muss der arme Graf, pfui, das heißt sein Handwerk sehr grausam treiben und verpfuschen.",negative,negative,negative,positive,4500,4510
329,"Aber davon muss der Prinz noch nichts wissen, er muss erst selbst sehen, wie zuträglich ihm dieser Tod ist dieser Tod, was gäb ich um seine Gewissheit.",neutral,positive,negative,negative,4511,4527
330,die Allee herauf,neutral,neutral,negative,neutral,4529,4530
331,Etwa mit den Bedienten her?,neutral,neutral,negative,neutral,4531,4533
332,Nicht wie es scheint.,negative,negative,negative,neutral,4534,4535
333,"Beflügelt den Füßen. Nein, sie muss noch nichts argwöhnen, sie glaubt sich nur vor Räubern zu retten",neutral,positive,negative,neutral,4536,4543
334,Aber wie lange kann das dauern? So haben wir sie doch fürs erste wird die Mutter sie nicht aufsuchen wird der Graf ihr nicht nachkommen.,negative,negative,negative,neutral,4544,4552
335,Was sind wir als denn weit?,neutral,negative,negative,neutral,4553,4555
336,"Wie kann ich Sie Ihnen vorenthalten auf all das weiß ich freilich noch nicht zu antworten, aber wir müssen sehen. gedulden Sie sich gnädiger Herr. Der erste Schritt musste doch getan sein. Wozu, wenn wir ihn zurück tun, vielleicht müssen wir nicht das sind tausend Dinge auf die sich weiter fußen lässt.",negative,negative,negative,negative,4556,4575
337,Vergessen Sie denn das vornehmste?,neutral,neutral,negative,negative,4577,4579
338,vornehmste,neutral,neutral,positiv,negative,4582,4582
339,"was Die Kunst zu gefallen, zu überreden, – die einem Prinzen, welcher liebt, nie fehlet.",positive,negative,negative,negative,4584,4592
340,Fehlt außer wo er Sie gerade am nötigsten brauchten.,negative,negative,negative,neutral,4594,4598
341,Ich habe von dieser Kunst schon heute eine zu schlechten Versuch gemacht mit allem Schmeicheleien und Beteuerungen konnte ich ja auch nicht ein Wort aussprechen.,negative,negative,negative,negative,4600,4610
342,stumm zittern,negative,negative,negative,neutral,4611,4614
343,"Stand sie da, ihre Angst steckte mich an, ich zitterte mit und schloss mit einer Bitte um Vergebung kaum getraue ich mich so wieder anzureden.",negative,negative,negative,negative,4615,4627
344,ich hätte wenigstens,negative,neutral,negative,neutral,4628,4630
345,mags noch nicht,negative,negative,negative,neutral,4631,4632
346,Emilia,negative,neutral,negative,neutral,4637,4637
347,"sie müssen sie empfangen will hier in der Nähe hören, wie es abläuft kommen, wenn ich mich mehr gesammelt habe.",negative,positive,negative,neutral,4639,4645
348,"Wenn sie nur nicht selbst stürzen gesehen und das muss sie ja wohl nicht, dass ich sofort hierher eilt, sie kommt.",negative,negative,negative,neutral,4645,4664
349,"Auch ich will nicht das erste sein, was der hier in die Augen fällt.",neutral,negative,positiv,neutral,4682,4693
350,Nur hier herein gnädiges Fräuleint.,positive,positive,negative,neutral,4707,4713
351,"Danke, mein Freund. Ich danke Ihnen.",positive,positive,negative,neutral,4720,4725
352,aber Gott,negative,neutral,positiv,neutral,4727,4728
353,"Gott wo bin ich und so ganz allein, wo bleibt meine Mutter, wo blieb der Graf sie kommen doch nach mir auf dem Fuß. Ich vermute, er vermutet. Er weiß es nicht, er sah sie nicht.",negative,negative,positiv,neutral,4730,4746
354,"gar hinter uns geschossen? –
Geschossen? – Das wäre! –
Ganz gewiß! Und das hat den Grafen, oder meine Mutter getroffen. –
Ich will gleich nach ihnen ausgehen.
Nicht ohne mich. – Ich will mit; ich muß mit: komm Er, mein Freund!",negative,negative,positiv,neutral,4747,4763
355,Wer ist voll was für ein Unglück oder vielmehr was für ein Glück was für ein glückliches Unglück verschafft uns die Ehre?,negative,negative,negative,neutral,4764,4774
356,mein Herr,positive,neutral,negative,neutral,4778,4780
357," Ich bin also wohl bei Ihnen? – Verzeihen Sie, Herr Kammerherr. Wir sind von Räubern ohnfern überfallen worden. Da kamen uns gute Leute zu Hilfe; – und dieser ehrliche Mann hob mich aus dem Wagen, und brachte mich hierher. – Aber ich erschrecke, mich allein gerettet zu sehen. Meine Mutter ist noch in der Gefahr. Hinter uns ward sogar geschossen. Ich muß fort; ich muß wieder hin, – wo ich gleich hätte bleiben sollen.
Beruhigen Sie sich, gnädiges Fräulein. Es steht alles gut; die geliebten Personen werden bald bei ihnen sein. Battista, geh', lauf: sie dürften vielleicht nicht wissen, wo das Fräulein ist. Bringe sie unverzüglich hierher. ich sollte ihnen entgegen eilen –",positive,negative,positiv,neutral,4782,4821
358,"Erholen sich vielmehr und wir holen in ein Zimmer zu treten, wo mehr Bequemlichkeit ist.",positive,positive,positiv,neutral,4827,4834
359,"Ich will wetten, dass der Prinz schon selbst du mir das eure ehrwürdige Mutter ist und sie ihn zuführt. Wer sagen Sie? Unser gnädigster Prinz selbst.",positive,positive,negative,neutral,4836,4843
360,Der prinz! er Floh auf die erste Nachricht in zu helfen.,positive,positive,negative,neutral,4845,4850
361,der Prinz,neutral,neutral,positiv,neutral,4852,4854
362,"ja, wo bin ich denn? Also auf dosalo dem Lustschloss?",neutral,neutral,negative,neutral,4857,4862
363,"Und sie glauben, dass er gleich selbst.",neutral,positive,negative,neutral,4863,4867
364,erscheinen könne,neutral,neutral,negative,neutral,4868,4869
365,"unter seinen Augen gleichsam hat dürfen gewagt werden, er lässt den Täter nachsetzen und die Strafe wenn sie ergriffen wird wird unerhört sein.",negative,positive,negative,neutral,4874,4884
366,Wir suchen Sie überall.,neutral,negative,negative,neutral,4893,4894
367,schönstes Fräulein,positive,positive,negative,neutral,4895,4896
368,sie sind obwohl,neutral,neutral,negative,neutral,4897,4898
369,nun so ist alles,positive,neutral,negative,neutral,4900,4901
370,der Graf ihre Mutter,neutral,negative,negative,neutral,4903,4904
371,gnädigster Herr wo sind sie?,neutral,positive,positiv,negative,4905,4907
372,wo ist meine Mutter,negative,neutral,negative,neutral,4908,4909
373,Hier ganz in der Nähe. Gott in welchen zustande werde ich die eine oder den anderen vielleicht treffen?,negative,positive,positiv,neutral,4912,4920
374,"ganz gewiss treffen, wenn sie",neutral,neutral,positiv,neutral,4923,4924
375,Sie fehlen mir gnädiger Herr ich sehe es sie verhehlen mir.,negative,negative,positiv,neutral,4927,4933
376,nicht,neutral,negative,negative,neutral,4934,4935
377,beste Fräulein,positive,positive,negative,neutral,4936,4937
378,geben sie mir ihren Arm,positive,negative,negative,neutral,4940,4941
379,folgen Sie mir,positive,neutral,negative,neutral,4943,4944
380,getrost,positive,neutral,neutral,neutral,4946,4946
381,"Aber wenn ich nichts widerfahren, warum sind wir nicht schon hier, warum kamen sie nicht mit ihnen gnädiger Herr?",negative,negative,positiv,neutral,4957,4963
382,Sollen sie doch mal an alle diese Schreckensbilder mit ein Verschwinden zu sehen.,negative,negative,negative,neutral,4965,4970
383,Was soll ich tun?,positive,negative,positiv,neutral,4972,4973
384,Sollten Sie einen Verdacht gegen mich hegen.,negative,negative,negative,neutral,4978,4980
385,zu ihren Füßen,negative,negative,negative,neutral,4996,4997
386,ich bin,neutral,neutral,neutral,neutral,5003,5004
387,beschämt,neutral,negative,neutral,neutral,5005,5005
388,Emilia ich verdiene diesen stummen Vorwurf.,positive,negative,neutral,neutral,5008,5013
389,Meine Handeln diesen Morgen ist nicht zu rechtfertigen zu entschuldigen höchstens.,negative,negative,negative,neutral,5015,5020
390,Verzeihen Sie meine Sprache.,negative,positive,negative,neutral,5022,5024
391,"Ich hätte sie mit keinen Geständnisse beunruhigen sollen, von dem ich keinen Vorteil zu erwarten habe auch warte ich durch die sprachlose bestürzung und mit der sie es anhören vielmehr nicht anhören.",negative,negative,negative,neutral,5026,5038
392,Genug Sachen bestraft könnte ich schon diesen Zufall der mir nochmals.,positive,negative,negative,neutral,5040,5046
393,Ihr alle meine Hoffnung auf ewig verschwindet gehen wir nochmals das Glück sie zu sehen.,negative,negative,negative,negative,5047,5054
394,zu sprechen verschaffen.,negative,neutral,neutral,negative,5055,5057
395,könnte ich schon diesen Zufall für den Wink eines günstigen Glückes erklären für den wunderbarsten Aufschub meiner endlichen Verurteilung erklären so will ich doch beten sie nicht mein Fräulein,negative,positive,neutral,negative,5058,5074
396,"So will ich doch einzig und allein von ihrem Blicke Abhang kein Wort, kein Seufzer soll sie beleidigen.",positive,negative,negative,neutral,5075,5087
397,Nur kränke mich nicht ihr Misstrauen.,negative,negative,neutral,neutral,5088,5090
398,Auch wenn Sie keinen Augenblick.,negative,neutral,negative,neutral,5091,5093
399,"Umschränkesten Gewalt, die sie über mich haben.",negative,negative,neutral,neutral,5095,5099
400,"Nur fall Ihnen niemals, dass Sie eines anderen Schutzes gegen mich bedürfen.",negative,negative,negative,negative,5101,5106
401,Und nun kommen Sie mein Fräulein.,neutral,neutral,negative,neutral,5108,5115
402,"Komm wo Annehmlichkeiten auf, sie warten, die Sie mehr billigen.",positive,negative,negative,neutral,5116,5121
403,Folgen sie uns das mag heißen folgen Sie uns nicht.,neutral,negative,negative,neutral,5134,5142
404,"Was hätte ich ihn auch zu folgen? Er mag sehen, wie weit ist unter vier Augen mit ihr bringt.",neutral,positive,negative,neutral,5144,5148
405,"Alles was ich zu tun habe ist zu verhindern, dass sie nicht gestört werden.",neutral,negative,negative,neutral,5149,5152
406,An den Grafen zwar auf mich nun wohl nicht aber von der Mutter von der Mutter.,neutral,negative,negative,neutral,5153,5158
407,"Es sollte mich sehr wundern, wenn die so ruhig abgezogen wäre, und ihre Tochter im Stiche gelassen hätte. – Nun, Battista? was gibts?
Die Mutter, Herr Kammerherr –
Dacht' ichs doch! – Wo ist sie?
Wann Sie ihr nicht zuvorkommen, so wird sie den Augenblick hier sein. Sie ist der Tochter auf der Spur, und wo nur nicht – unserm ganzen Anschlage! Ob man ihr schon gesagt, daß der Prinz hier ist, daß Sie hier sind, weiß ich nicht. – Was wollen Sie tun? Sie nicht einlassen, wenn sie weiß, daß die Tochter hier ist? – Das geht nicht. – Freilich, sie wird Augen machen, wenn sie den Wolf bei dem Schäfchen sieht. – Augen? Das möchte noch sein. Aber der Himmel sei unsern Ohren gnädig! – Nun was? die beste Lunge erschöpft sich; auch so gar eine weibliche.  Wenn ich die Mütter recht kenne: – so etwas von einer Schwiegermutter eines Prinzen zu sein, schmeichelt die meisten. ",neutral,negative,negative,negative,5161,5215
408,"Sprich, wo ist sie? Sie könnte in dem Schoße der Seligkeit nicht aufgehobener sein hier, mein Herr wird Ihre Gnaden zu ihr führen  Dein Herr? Das dein Herr? – Sie hier, mein Herr? Und hier meine Tochter? Und Sie, Sie sollen mich zu ihr führen?
Mit vielem Vergnügen, gnädige Frau. Halten Sie! – Sie waren es ja – nicht?",negative,negative,negative,neutral,5221,5249
409,"Grafen diesen Morgen in meinem Hause aufsuchte? mit dem ich ihn allein ließ? mit dem er Streit bekam?
Streit? – ein unbedeutender Wortwechsel in herrschaftlichen Angelegenheiten –
Und Marinelli heißen Sie?",neutral,negative,positiv,neutral,5251,5265
410,marinelli,neutral,neutral,positiv,negative,5272,5274
411,war der Name marinelli?,neutral,neutral,negative,negative,5277,5280
412,"Begleitet mit deiner Verwünschung. Nein, dass ich den edelen mann nicht verleumdet begleitet mit keiner Verwünschung. Die Verwünschung denke ich hinzu.",neutral,negative,positiv,negative,5281,5291
413,der Name marinelli,neutral,neutral,positiv,negative,5292,5294
414,Das letzte Wort.,neutral,neutral,negative,negative,5297,5298
415,Sterbenden Grafen,neutral,neutral,positiv,negative,5300,5302
416,Ja,neutral,neutral,negative,neutral,5306,5307
417,sie hören,neutral,neutral,negative,neutral,5309,5310
418,"was mir an ihrer seltsamen Rede am meisten auffällt, des sterbenden Grafen, was Sie sonst sagen wollten, verstehe ich nicht. Der Name marinelli.",negative,negative,negative,negative,5311,5325
419,das letzte Wort?,neutral,neutral,negative,neutral,5327,5328
420,"Grafen! – Verstehen Sie nun? – Ich verstand es erst auch nicht: ob schon mit einem Tone gesprochen – mit einem Tone! – Ich höre ihn noch! Wo waren meine Sinne, daß sie diesen Ton nicht sogleich verstanden?
Nun, gnädige Frau? – Ich war von je her des Grafen Freund; sein vertrautester Freund. Also, wenn er mich noch im Sterben nannte –
Mit dem Tone? – Ich kann ihn nicht nachmachen; ich kann ihn nicht beschreiben; aber er enthielt alles! alles! – Was? Räuber wären es gewesen, die uns anfielen? – Mörder waren es; erkaufte",negative,negative,negative,positive,5329,5369
421,"Mit einem Tone!
Mit einem Tone? – Ist es erhört, auf einen Ton, in einem Augenblicke des Schreckens vernommen, die Anklage eines rechtschaffnen Mannes zu gründen?
Ha, könnt' ich ihn nur vor Gerichte stellen, diesen Ton! – Doch, weh mir! Ich vergesse darüber meine Tochter. – Wo ist sie? – Wie? auch tot? – Was konnte meine Tochter dafür, daß Appiani dein Feind war?
Ich verzeihe der bangen Mutter. – Kommen Sie, gnädige Frau – Ihre Tochter ist hier; in einem von den nächsten Zimmern: und hat sich hoffentlich von ihrem Schrecken schon völlig erholt. Mit der zärtlichsten Sorgfalt ist der Prinz selbst um sie beschäftiget –
Wer? – Wer selbst?
Der Prinz.
Der Prinz? – Sagen Sie wirklich, der Prinz?",negative,negative,positiv,negative,5378,5418
422,unser Prinz. Ja welcher sonst.,neutral,neutral,positiv,neutral,5419,5420
423,ich unglückselige Mutter und ihr Vater.,negative,negative,negative,neutral,5428,5449
424,"Er wird den Tag ihrer Geburt verfluchen. Er wird mich verfluchen.
Um des Himmels willen, gnädige Frau! Was fällt Ihnen nun ein?
Es ist klar! – Ist es nicht? – Heute",negative,negative,positiv,neutral,5450,5466
425,"vor den Augen der Allerreinesten! in der nähern Gegenwart des Ewigen! – begann das Bubenstück; da brach es aus! Gegen den Marinelli. Ha, Mörder! feiger, elender Mörder! Nicht tapfer genug, mit eigner Hand zu morden; aber nichtswürdig genug, zu Befriedigung eines fremden Kitzels zu morden! – morden zu lassen! – Abschaum aller Mörder! – Was ehrliche Mörder sind, werden dich unter sich nicht dulden! Dich! Dich! – Denn warum soll ich dir nicht alle meine Galle, allen meinen Geifer mit einem einzigen Worte ins Gesicht speien? – Dich! Dich Kuppler!
Sie schwärmen, gute Frau. – Aber mäßigen Sie wenigstens Ihr wildes Geschrei, und bedenken Sie, wo Sie sind.",negative,negative,positiv,positive,5468,5524
426,Ich höre meine mutter.,neutral,neutral,negative,neutral,5528,5531
427,Mutter,neutral,neutral,negative,neutral,5535,5537
428,"Stimme, das ist sie, sie hat mich gehört und ich sollte nicht schreien, wo bist du? Mein Kind? Ich komme.",positive,negative,positiv,neutral,5538,5549
429,und komme,neutral,neutral,positiv,neutral,5552,5553
430,"Ich muß mich erholen – und muß Licht von Ihnen haben.
O der mütterlichen Wut! Ha! ha! ha!
Sie lachen?
Wenn Sie gesehen hätten, Prinz, wie toll sich hier, hier im Saale, die Mutter gebärdete – Sie hörten sie ja wohl schreien! – und wie zahm sie auf einmal ward, bei dem ersten Anblicke von Ihnen – – Ha! ha! – Das weiß ich ja wohl, daß keine Mutter einem Prinzen die Augen auskratzt, weil er ihre Tochter schön findet!
Sie sind ein schlechter Beobachter! – Die Tochter stürzte der Mutter in die Arme. Darüber vergaß die Mutter ihre Wut: nicht über mir.",positive,negative,negative,negative,5568,5606
431,"Ihre Tochter schonte sie nicht mich, wenn sie es nicht lauter und nicht deutlicher gesagt hättest, was ich lieber selbst nicht gehört und nicht verstanden haben will. ja was gnädiger Herr.",negative,negative,negative,negative,5607,5620
432,wozu die Verstellung,neutral,neutral,negative,neutral,5622,5623
433,Ist das wahr?,negative,positive,neutral,neutral,5625,5626
434,"Oh, das ist nicht wahr und wenn es denn wäre, wenn es denn",negative,negative,negative,neutral,5627,5632
435,also ist es,negative,neutral,negative,negative,5634,5635
436,Er ist tot tot Marinelli Marinelli.,negative,negative,negative,negative,5637,5645
437,bei Gott,negative,neutral,negative,neutral,5671,5672
438,bei dem all gerechten Gott,negative,positive,negative,negative,5673,5675
439,Ich bin unschuldig an diesem Blut.,negative,positive,negative,negative,5677,5679
440,"Wenn sie es mir vorher gesagt hätten, dass es den Grafen das Leben kosten wird.",negative,neutral,negative,neutral,5695,5701
441,"und wenn es mir selbst das Leben gekostet hätte! –
Wenn ich Ihnen vorher gesagt hätte? – Als ob sein Tod in meinem Plane gewesen wäre! Ich hatte es dem Angelo auf die Seele gebunden, zu verhüten, daß niemanden Leides geschähe. Es würde auch ohne die geringste Gewalttätigkeit abgelaufen sein, wenn sich der Graf nicht die erste erlaubt hätte. Er schoß Knall und Fall den einen nieder.
Wahrlich; er hätte sollen Spaß verstehen!
Daß Angelo sodann in Wut kam, und den Tod seines Gefährten rächte –
Freilich, das ist sehr natürlich!
Ich hab' es ihm genug verwiesen.
Verwiesen? Wie freundschaftlich! – Warnen Sie ihn, daß er sich in meinem Gebiete nicht betreten läßt. Mein Verweis möchte so freundschaftlich nicht sein.
Recht wohl! – Ich und Angelo; Vorsatz und Zufall: alles ist eins. – Zwar ward es voraus",negative,negative,negative,negative,5704,5752
442,"wofür sie mich halten, eine einzige Vorstellung.",negative,neutral,negative,negative,5764,5766
443,"Ich hatte ihn herausgefordert, er war mir Genugtuung schuldig, ist ohne diese aus der Welt gegangen meine Ehre bleibt beleidigt.",negative,negative,negative,negative,5772,5778
444,"Jetzt nicht verdient ja unter allen anderen Umständen den Verdacht, der sie gegen mich hegen.",negative,negative,positiv,neutral,5779,5784
445,"Nun gut, nun gut, sein Tod war Zufall, bloßer Zufall.",negative,positive,negative,negative,5794,5801
446,Sie versichern es und ich ich glaube.,negative,positive,negative,negative,5802,5806
447,Aber wer mehr?,neutral,neutral,negative,negative,5807,5808
448,"Auch die Mutter? Auch Emilia? – Auch die Welt?
Schwerlich.
Und wenn man es nicht glaubt, was wird man denn glauben? – Sie zucken die Achsel? – Ihren Angelo wird man für das Werkzeug, und mich für den Täter halten –
Wahrscheinlich genug.
Mich! mich selbst! – Oder ich muß von Stund an alle Absicht auf Emilien aufgeben –
Was Sie auch gemußt hätten –",negative,negative,negative,negative,5810,5829
449,Sie sollen mich nicht wild machen.,negative,negative,negative,neutral,5832,5835
450,"Es sei so – Es ist so! Und das wollen Sie doch nur sagen: der Tod des Grafen ist für mich ein Glück – das größte Glück, was mir begegnen konnte, ein Graf mehr oder weniger in der Welt. Denk ich ihnen so recht?",negative,positive,negative,neutral,5837,5851
451,"auch ich erschrecke vor einem kleinen Verbrechen nicht. Nur, guter Freund, muß es ein kleines stilles Verbrechen, ein kleines heilsames Verbrechen sein. Und sehen Sie, unseres da, wäre nun gerade weder stille noch heilsam. Es hätte den Weg zwar gereiniget, aber zugleich gesperrt. Jedermann würde es uns auf den Kopf zusagen, – und leider hätten wir es gar nicht einmal begangen! – Das liegt doch wohl nur bloß an Ihren weisen, wunderbaren Anstalten?
Wenn Sie so befehlen –
Woran sonst? – Ich will Rede!
Es kommt mehr auf meine Rechnung, was nicht darauf gehört.
Rede will ich!
Nun dann! Was läge an meinen Anstalten? daß den Prinzen bei diesem Unfalle ein so sichtbarer Verdacht trifft? – An dem Meisterstreiche liegt das, den er selbst meinen Anstalten mit einzumengen die Gnade hatte.
Ich?
Er erlaube mir, ihm zu sagen, daß der Schritt, den 
er heute Morgen in der Kirche getan,",negative,negative,negative,neutral,5854,5903
452,"Versteh' ich Sie?
Also, kurz und einfältig. Da ich die Sache übernahm, nicht wahr, da wußte Emilia von der Liebe des Prinzen noch nichts? Emiliens Mutter noch weniger. Wenn ich nun auf diesen Umstand baute? und der Prinz indes den Grund meines Gebäudes untergrub? –
Verwünscht!
Wenn er es nun selbst verriet, was er im Schilde führe?
Verdammter Einfall!
Und wenn er es nicht selbst verraten hätte? – Traun! ich möchte doch wissen, aus welcher meiner Anstalten, Mutter oder Tochter den geringsten Argwohn gegen ihn schöpfen könnte?
Daß Sie Recht haben!
Daran tu' ich freilich sehr Unrecht – Sie werden verzeihen, gnädiger Herr –
Eben kömmt die Gräfin an.
Die Gräfin? Was für eine Gräfin?
Orsina.
Orsina? – Marinelli! – Orsina? – Marinelli!
Ich erstaune darüber, nicht weniger als Sie selbst.",negative,negative,negative,positive,5919,5969
453,"Geh lauf Battista, sie soll nicht aussteigen, ich bin nicht hier, ich bin für sie nicht hier, sie soll augenblicklich wieder umkehren.",negative,negative,negative,neutral,5972,5981
454,Was will die Närrin?,negative,neutral,negative,neutral,5982,5983
455,"was untersteht sie sich? Wie weiß sie, dass wir hier",negative,negative,negative,neutral,5984,5988
456,"sollte Sie wohl als Kundschaft kommen, sollte sie wohl schon etwas vernommen haben.",negative,neutral,negative,neutral,5991,5997
457,Ach Marinelli so reden sie so antworten sie doch.,negative,neutral,negative,neutral,5999,6002
458,"Ist er beleidigt, der Mann der mein Freund sein will und durch einen elenden Wortwechsel beleidigt soll ich ihn um Verzeihung bitten.",negative,negative,negative,neutral,6003,6010
459,"sobald sie wieder sie sind, wenn ich mit ganzer Seele der Ihrige",positive,neutral,negative,neutral,6014,6018
460,"Die Ankunft der Orsina ist mir ein Rätsel, wie Ihnen. Doch abweisen wird sie schwerlich sich lassen. Was wollen Sie tun?
Sie durchaus nicht sprechen; mich entfernen –
Wohl! und nur geschwind. Ich will sie empfangen –
Aber bloß, um sie gehen zu heißen. – Weiter geben Sie mit ihr sich nicht ab. Wir haben andere Dinge hier zu tun –
Nicht doch, Prinz! Diese andern Dinge sind getan. Fassen Sie doch Mut! Was noch fehlt, kömmt sicherlich von selbst. – Aber hör' ich sie nicht schon? – Eilen Sie, Prinz! – Da,",negative,negative,negative,negative,6019,6045
461,wenn Sie uns hören,neutral,negative,negative,positive,6046,6049
462,"Ich fürchte, ich fürchte sie ist nicht zur ihrer besten Stunde ausgefahren.",neutral,negative,positiv,neutral,6054,6063
463,"Was ist das? – Niemand kommt mir entgegen, außer ein Unverschämter, der mir lieber gar den Eintritt verweigert hätte? – Ich bin doch zu Dosalo? Zu dem Dosalo, wo mir sonst ein ganzes Heer geschäftiger Augendiener entgegen stürzte?",positive,negative,positiv,neutral,6081,6101
464,"wo mich sonst Liebe und Entzücken erwarteten? – Der Ort ist es; aber, aber! – Sieh' da, Marinelli! – Recht gut, daß der Prinz Sie mitgenommen. – Nein, nicht gut! Was ich mit ihm auszumachen hätte, hätte ich nur mit ihm auszumachen. – Wo ist er?
Der Prinz, meine gnädige Gräfin?
Wer sonst?
Sie vermuten ihn also hier? wissen ihn hier? – Er wenigstens ist der Gräfin Orsina hier nicht vermutend.
Nicht? So hat er meinen Brief heute Morgen nicht erhalten?
Ihren Brief? Doch ja; ich erinnere mich, daß er eines Briefes von Ihnen erwähnte.
Nun? habe ich ihn nicht in diesem Briefe auf heute um eine Zusammenkunft hier auf Dosalo gebeten? – Es ist wahr, es hat ihm nicht beliebt, mir schriftlich zu antworten. Aber ich erfuhr, daß er eine Stunde darauf wirklich nach Dosalo abgefahren. Ich glaubte, das sei Antworts genug; und ich komme.",positive,negative,negative,positive,6103,6162
465,"Zufall? – Sie hören ja, daß es verabredet worden. So gut, als verabredet. Von meiner Seite, der Brief: von seiner, die Tat. – Wie er da steht, der Herr Marchese! Was er für Augen macht! Wundert sich das Gehirnchen? und worüber denn?
Sie schienen gestern so weit entfernt, dem Prinzen jemals wieder vor die Augen zu kommen.
Beßrer Rat kömmt über Nacht.",neutral,positive,positiv,negative,6163,6183
466,"Wo ist er? wo ist er? – Was gilts, er ist in dem Zimmer, wo ich das Gequicke, das Gekreusche hörte? – Ich wollte herein, und der Schurke vom Bedienten trat vor.
Meine liebste, beste Gräfin –
Es war ein weibliches Gekreusche. Was gilts, Marinelli? – O sagen Sie mir doch, sagen Sie mir – wenn ich anders Ihre liebste, beste Gräfin bin – Verdammt, über das Hofgeschmeiß! So viel Worte, so viel Lügen! –",negative,positive,positiv,negative,6184,6219
467,"Nun was liegt daran ob sie's mir voraussagen oder nicht, ich werde es ja wohl sehen wohin.",positive,negative,positiv,neutral,6220,6225
468,"Wo ich längst sein sollte. – Denken Sie, daß es schicklich ist, mit Ihnen hier in dem Vorgemache einen elenden Schnickschnack zu halten, indes der Prinz in dem Gemache auf mich wartet?
Sie irren sich, gnädige Gräfin. Der Prinz erwartet 
Sie nicht. Der Prinz kann Sie hier nicht sprechen, – will Sie nicht sprechen.
Und wäre doch hier? und wäre doch auf meinen Brief hier?
Nicht auf Ihren Brief –
Den er ja erhalten, sagen Sie –",neutral,negative,positiv,positive,6234,6264
469,nicht,negative,negative,negative,neutral,6274,6275
470,"Aus Zerstreuung weiß ich nicht aus Verachtung Verachtung wer denkt denn daran, sie sind ja ein unverschänter Tröster, Verachtung, ach Verachtung, mich verachtet.",positive,negative,positiv,positive,6278,6299
